id,state_ut_name,year,jail_type,male_convicts,female_convicts,total_convicts,male_under_trial,female_under_trial,total_under_trial,male_detenues,female_detenues,total_detenues,male_others,female_others,total_others,total_male,total_female,grand_total
0,Andhra Pradesh,2001,Central Jail,3372,3,3375,2718,114,2832,4,0,4,22,0,22,6116,117,6233
1,Andhra Pradesh,2001,District Jail,294,1,295,2379,136,2515,0,0,0,0,0,0,2673,137,2810
2,Andhra Pradesh,2001,Sub_Jail,188,10,198,3263,151,3414,0,0,0,0,0,0,3451,161,3612
3,Andhra Pradesh,2001,Women Jail,0,88,88,0,81,81,0,1,1,0,0,0,0,170,170
4,Andhra Pradesh,2001,Borstal School,17,0,17,0,0,0,0,0,0,0,0,0,17,0,17
5,Andhra Pradesh,2001,Open Jail,248,0,248,0,0,0,0,0,0,0,0,0,248,0,248
6,Andhra Pradesh,2001,Special Jail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Andhra Pradesh,2001,Others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Andhra Pradesh,2001,Total,4119,102,4221,8360,482,8842,4,1,5,22,0,22,12505,585,13090
9,Andhra Pradesh,2002,Central Jail,4111,4,4115,3173,157,3330,2,0,2,0,0,0,7286,161,7447
10,Andhra Pradesh,2002,District Jail,250,3,253,1908,108,2016,0,0,0,0,0,0,2158,111,2269
11,Andhra Pradesh,2002,Sub_Jail,114,1,115,2911,200,3111,0,0,0,0,0,0,3025,201,3226
12,Andhra Pradesh,2002,Women Jail,0,143,143,0,92,92,0,0,0,0,0,0,0,235,235
13,Andhra Pradesh,2002,Borstal School,28,0,28,0,0,0,0,0,0,0,0,0,28,0,28
14,Andhra Pradesh,2002,Open Jail,218,0,218,0,0,0,0,0,0,0,0,0,218,0,218
15,Andhra Pradesh,2002,Special Jail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Andhra Pradesh,2002,Others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Andhra Pradesh,2002,Total,4721,151,4872,7992,557,8549,2,0,2,0,0,0,12715,708,13423
18,Andhra Pradesh,2003,Central Jail,4305,11,4316,3280,202,3482,18,0,18,0,0,0,7603,213,7816
19,Andhra Pradesh,2003,District Jail,269,0,269,1927,165,2092,0,0,0,0,0,0,2196,165,2361
20,Andhra Pradesh,2003,Sub_Jail,125,0,125,3171,22,3193,0,0,0,0,0,0,3296,22,3318
21,Andhra Pradesh,2003,Women Jail,0,161,161,0,152,152,0,0,0,0,0,0,0,313,313
